application_id,college_id,application_year,discovery_channel,applicant_state,intended_field,admitted_flag,enrolled_flag
A000001,C01,2018,Campus Visit / Open House,PA,Physical Sciences & Math,1,0
A000002,C01,2018,College Website,PA,Nursing & Health Sciences,1,0
A000003,C01,2018,College Fair,FL,Engineering,1,0
A000004,C01,2018,College Website,PA,Business,1,0
A000005,C01,2018,College Website,OR,Engineering,0,0
A000006,C01,2018,Social Media,OH,Business,0,0
A000007,C01,2018,Online Search / Rankings Sites,PA,Business,1,0
A000008,C01,2018,College Website,TN,Education,1,0
A000009,C01,2018,Campus Visit / Open House,MI,Computer Science,1,0
A000010,C01,2018,College Fair,NJ,Arts & Humanities,1,0
A000011,C01,2018,Advertising / Direct Mail,NY,Nursing & Health Sciences,0,0
A000012,C01,2018,High School Counselor,PA,Nursing & Health Sciences,1,0
A000013,C01,2018,College Website,PA,Computer Science,1,0
A000014,C01,2018,College Website,GA,Nursing & Health Sciences,1,0
A000015,C01,2018,Campus Visit / Open House,OH,Business,0,0
A000016,C01,2018,College Website,PA,Physical Sciences & Math,1,0
A000017,C01,2018,Friends / Family / Alumni,PA,Business,1,0
A000018,C01,2018,College Website,TX,Business,1,1
A000019,C01,2018,High School Counselor,NJ,Biology & Life Sciences,1,0
A000020,C01,2018,Friends / Family / Alumni,PA,Computer Science,1,1
A000021,C01,2018,Social Media,VA,Biology & Life Sciences,1,1
A000022,C01,2018,College Website,MN,Engineering,1,0
A000023,C01,2018,College Fair,IL,Education,1,1
A000024,C01,2018,Friends / Family / Alumni,PA,Nursing & Health Sciences,1,1
A000025,C01,2018,Friends / Family / Alumni,PA,Computer Science,1,1
A000026,C01,2018,College Website,WI,Social Sciences,0,0
A000027,C01,2018,College Website,MI,Arts & Humanities,1,0
A000028,C01,2018,Online Search / Rankings Sites,MI,Engineering,1,1
A000029,C01,2018,High School Counselor,TN,Biology & Life Sciences,1,0
A000030,C01,2018,Campus Visit / Open House,TX,Nursing & Health Sciences,0,0
A000031,C01,2018,High School Counselor,TX,Business,1,1
A000032,C01,2018,Friends / Family / Alumni,VA,Nursing & Health Sciences,1,1
A000033,C01,2018,Advertising / Direct Mail,MN,Social Sciences,0,0
A000034,C01,2018,Campus Visit / Open House,MA,Business,1,0
A000035,C01,2018,Online Search / Rankings Sites,PA,Social Sciences,1,0
A000036,C01,2018,College Website,PA,Nursing & Health Sciences,1,0
A000037,C01,2018,Social Media,GA,Arts & Humanities,1,1
A000038,C01,2018,Friends / Family / Alumni,PA,Education,1,1
A000039,C01,2018,College Website,OH,Nursing & Health Sciences,1,0
A000040,C01,2018,College Website,PA,Nursing & Health Sciences,1,1
A000041,C01,2018,High School Counselor,PA,Nursing & Health Sciences,1,0
A000042,C01,2018,Advertising / Direct Mail,WI,Arts & Humanities,0,0
A000043,C01,2018,Social Media,PA,Business,1,0
A000044,C01,2018,Online Search / Rankings Sites,TN,Biology & Life Sciences,1,0
A000045,C01,2018,College Fair,NY,Computer Science,1,0
A000046,C01,2018,High School Counselor,GA,Education,1,1
A000047,C01,2018,College Fair,PA,Computer Science,1,1
A000048,C01,2018,College Website,PA,Biology & Life Sciences,1,0
A000049,C01,2018,College Website,PA,Physical Sciences & Math,0,0
A000050,C01,2018,College Fair,PA,Business,1,1
A000051,C01,2018,College Fair,OH,Education,0,0
A000052,C01,2018,Campus Visit / Open House,VA,Nursing & Health Sciences,0,0
A000053,C01,2018,Social Media,PA,Computer Science,1,0
A000054,C01,2018,Friends / Family / Alumni,MI,Arts & Humanities,1,1
A000055,C01,2018,Online Search / Rankings Sites,MA,Psychology,1,0
A000056,C01,2018,Friends / Family / Alumni,PA,Social Sciences,1,1
A000057,C01,2018,High School Counselor,PA,Business,1,0
A000058,C01,2018,High School Counselor,AZ,Computer Science,0,0
A000059,C01,2018,High School Counselor,AZ,Engineering,1,0
A000060,C01,2018,Friends / Family / Alumni,PA,Biology & Life Sciences,1,0
A000061,C01,2018,Online Search / Rankings Sites,NC,Computer Science,1,0
A000062,C01,2018,High School Counselor,NJ,Engineering,0,0
A000063,C01,2018,Campus Visit / Open House,TN,Engineering,1,1
A000064,C01,2018,Campus Visit / Open House,PA,Business,1,1
A000065,C01,2018,College Fair,PA,Engineering,1,0
A000066,C01,2018,College Fair,VA,Business,1,0
A000067,C01,2018,College Website,PA,Arts & Humanities,1,0
A000068,C01,2018,College Website,TX,Psychology,1,0
A000069,C01,2018,Social Media,MI,Nursing & Health Sciences,1,0
