college_id,fiscal_year,total_enrollment_est,state_appropriation_usd,federal_research_grants_usd,endowment_payout_usd,net_tuition_revenue_usd,scholarship_awarded_usd,scholarship_budget_usd
C01,2018,465,0,222000,0,7717000,896000,1092000
C01,2019,411,0,185000,0,6685000,1131000,1442000
C01,2020,502,0,118000,0,8486000,1223000,1529000
C01,2021,393,0,109000,0,6756000,1143000,1267000
C01,2022,421,0,79000,0,7599000,964000,1205000
C01,2023,562,0,134000,0,10511000,1401000,1771000
C01,2024,543,0,247000,0,10173000,1867000,1966000
C01,2025,523,0,74000,0,10448000,1501000,1859000
C02,2018,188,94000,468000,1569000,4957000,1841000,2064000
C02,2019,186,89000,423000,1020000,5353000,1704000,2106000
C02,2020,171,55000,310000,1109000,4727000,1954000,2264000
C02,2021,216,71000,337000,2284000,5997000,2545000,3067000
C02,2022,165,85000,305000,1796000,4674000,2170000,2556000
C02,2023,187,146000,419000,907000,5614000,2353000,2873000
C02,2024,194,84000,334000,2268000,6016000,2508000,3192000
C02,2025,224,111000,781000,2392000,7104000,2946000,3584000
C03,2018,490,4013000,1110000,578000,5621000,1145000,1282000
C03,2019,535,4577000,1365000,1006000,6855000,1641000,1943000
C03,2020,471,4134000,379000,598000,6413000,1445000,1797000
C03,2021,599,4624000,1130000,724000,7475000,1811000,2322000
C03,2022,538,4402000,568000,354000,6347000,1836000,2372000
C03,2023,542,4619000,1357000,271000,7590000,1745000,2164000
C03,2024,670,5468000,1471000,1308000,9497000,2346000,2930000
C03,2025,649,5338000,1163000,1182000,9644000,2404000,2945000
C04,2018,224,0,46000,0,3253000,497000,586000
C04,2019,305,0,89000,0,4237000,1021000,1072000
C04,2020,253,0,44000,0,4016000,427000,467000
C04,2021,253,0,56000,0,4179000,567000,703000
C04,2022,332,0,122000,0,5334000,879000,1053000
C04,2023,342,0,75000,0,5735000,974000,1218000
C04,2024,272,0,70000,0,4677000,806000,976000
C04,2025,301,0,140000,0,5634000,611000,778000
C05,2018,616,0,277000,0,9892000,1529000,1802000
C05,2019,769,0,214000,0,12515000,1996000,2506000
C05,2020,760,0,303000,0,13318000,1751000,1846000
C05,2021,710,0,265000,0,12341000,2111000,2647000
C05,2022,788,0,161000,0,13873000,2634000,3291000
C05,2023,849,0,267000,0,15870000,2614000,2845000
C05,2024,864,0,281000,0,16600000,2683000,2926000
C05,2025,945,0,224000,0,18990000,2737000,3542000
C06,2018,245,143000,844000,2028000,5575000,2034000,2257000
C06,2019,249,86000,708000,2439000,5184000,2663000,2883000
C06,2020,179,56000,609000,1547000,3845000,2005000,2231000
C06,2021,254,80000,721000,1185000,6632000,2070000,2566000
C06,2022,254,183000,691000,2631000,6370000,2720000,3367000
C06,2023,208,91000,661000,1713000,5497000,1969000,2532000
C06,2024,232,117000,781000,2723000,6132000,2550000,2981000
C06,2025,270,220000,508000,2926000,7509000,2864000,3559000
C07,2018,477,3303000,1146000,1121000,5862000,1491000,1600000
C07,2019,454,3033000,1041000,252000,6354000,1122000,1314000
C07,2020,518,3879000,1048000,1059000,7063000,1766000,1926000
C07,2021,487,3471000,427000,1153000,7255000,1438000,1575000
C07,2022,531,4391000,1384000,388000,7872000,1706000,1969000
C07,2023,513,5092000,933000,912000,7247000,1582000,1800000
C07,2024,679,5470000,1840000,1474000,10158000,2072000,2459000
C07,2025,654,6774000,762000,699000,10675000,1983000,2562000
C08,2018,265,232000,898000,2426000,6863000,3098000,3556000
C08,2019,262,143000,756000,1061000,7525000,2622000,3078000
C08,2020,342,227000,846000,2480000,10175000,3530000,4182000
C08,2021,439,133000,1004000,2614000,12582000,5488000,6837000
C08,2022,380,203000,1096000,3454000,12234000,3876000,4143000
C08,2023,339,206000,866000,1472000,10648000,4158000,4508000
C08,2024,406,286000,1013000,2067000,12729000,5584000,7219000
C08,2025,446,197000,1442000,2615000,15174000,5604000,7272000
C09,2018,303,0,95000,0,3728000,569000,614000
C09,2019,315,0,78000,0,3707000,876000,1104000
C09,2020,378,0,146000,0,4820000,970000,1022000
C09,2021,388,0,43000,0,5545000,616000,701000
C09,2022,406,0,52000,0,5743000,958000,1180000
C09,2023,309,0,71000,0,4452000,675000,738000
C09,2024,379,0,52000,0,5547000,1110000,1360000
C09,2025,354,0,155000,0,5574000,898000,953000
C10,2018,452,3726000,369000,750000,4791000,1175000,1438000
C10,2019,587,5028000,827000,840000,7350000,1417000,1810000
C10,2020,627,4495000,651000,571000,7991000,1667000,1837000
C10,2021,553,4540000,803000,474000,7675000,1532000,1853000
C10,2022,619,4886000,757000,665000,8957000,1817000,2082000
C10,2023,589,4570000,626000,447000,7775000,1751000,2113000
C10,2024,612,5701000,1000000,1143000,8285000,1644000,1746000
C10,2025,522,4608000,471000,939000,7203000,2108000,2484000
C11,2018,415,287000,1093000,3289000,11754000,4689000,5457000
C11,2019,421,296000,917000,4364000,12355000,4973000,6089000
C11,2020,333,161000,850000,2931000,9745000,4366000,5126000
C11,2021,307,212000,877000,1139000,9789000,3635000,4439000
C11,2022,408,236000,1272000,2747000,13483000,4948000,5444000
C11,2023,369,122000,1290000,1172000,12165000,4937000,5310000
C11,2024,351,263000,535000,2473000,12242000,4554000,5808000
C11,2025,423,215000,1096000,4423000,14466000,6647000,7402000
C12,2018,113,53000,285000,347000,2706000,948000,1183000
C12,2019,131,44000,350000,897000,2848000,1439000,1640000
C12,2020,140,91000,327000,673000,3528000,1312000,1390000
C12,2021,126,65000,293000,850000,3257000,1254000,1368000
C12,2022,121,52000,275000,852000,3207000,1215000,1564000
C12,2023,105,68000,362000,693000,2723000,1199000,1335000
C12,2024,150,114000,399000,1200000,4388000,1405000,1511000
C12,2025,142,77000,274000,1129000,4083000,1699000,2177000
C13,2018,392,3037000,737000,920000,3976000,1058000,1167000
C13,2019,341,3290000,291000,437000,3840000,954000,1062000
C13,2020,442,4123000,401000,686000,5796000,1259000,1575000
C13,2021,449,4481000,1121000,706000,6068000,1048000,1194000
C13,2022,480,3871000,1267000,1148000,6598000,1465000,1621000
C13,2023,462,4310000,1142000,798000,6128000,1402000,1478000
C13,2024,581,5406000,1115000,383000,7760000,2175000,2379000
C13,2025,436,4099000,1064000,890000,5425000,1420000,1728000
C14,2018,330,2415000,740000,749000,4191000,878000,983000
C14,2019,268,2161000,602000,566000,3040000,1070000,1288000
C14,2020,335,3091000,571000,179000,4238000,1300000,1637000
C14,2021,383,2733000,464000,210000,5248000,1101000,1278000
C14,2022,416,3249000,761000,573000,5846000,1279000,1391000
C14,2023,351,3019000,749000,820000,4589000,1116000,1181000
C14,2024,416,3808000,722000,1035000,5952000,1451000,1880000
C14,2025,342,3178000,877000,270000,5234000,1332000,1491000
C15,2018,398,182000,613000,3452000,9794000,3930000,4506000
C15,2019,401,354000,1075000,1352000,9968000,4182000,4625000
C15,2020,304,110000,576000,1899000,7651000,3401000,3898000
C15,2021,284,101000,899000,875000,7524000,3100000,3962000
C15,2022,350,133000,900000,1471000,9352000,4140000,5100000
C15,2023,421,368000,906000,2204000,11789000,5057000,5657000
C15,2024,473,301000,1432000,4853000,13725000,5638000,7329000
C15,2025,577,287000,1368000,6293000,16814000,7554000,9151000
C16,2018,221,1537000,239000,305000,2585000,571000,666000
C16,2019,238,1614000,658000,280000,2912000,759000,958000
