student_id,application_id,discovery_channel,college_id,cohort_year,field_of_study,stem_flag,family_income_band,first_gen_flag,in_state_flag,hs_gpa,annual_tuition_usd,scholarship_type,annual_scholarship_usd,annual_grant_usd,annual_loan_usd,annual_net_cost_usd,enrollment_status,graduation_year,dropout_year,years_to_outcome,cumulative_gpa
S000001,A000018,College Website,C01,2018,Arts & Humanities,Non-STEM,Under $30K,0,0,2.92,19920,None,0,0,0,19920,Dropped Out,,2019,1,1.63
S000002,A000020,Friends / Family / Alumni,C01,2018,Computer Science,STEM,$30K-$60K,0,1,3.59,19240,Departmental,3750,0,8000,15490,Graduated,2022,,4,3.37
S000003,A000021,Social Media,C01,2018,Psychology,Non-STEM,$100K-$150K,0,0,4.0,19270,None,0,0,13200,19270,Graduated,2022,,4,3.55
S000004,A000023,College Fair,C01,2018,Education,Non-STEM,Under $30K,0,0,3.22,19180,Departmental,3200,6674,3600,9306,Graduated,2022,,4,2.69
S000005,A000024,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$100K-$150K,0,1,2.61,19830,Merit,5500,0,0,14330,Graduated,2023,,5,2.54
S000006,A000025,Friends / Family / Alumni,C01,2018,Computer Science,STEM,Under $30K,0,1,3.14,19260,None,0,0,0,19260,Graduated,2022,,4,3.45
S000007,A000028,Online Search / Rankings Sites,C01,2018,Engineering,STEM,$60K-$100K,1,0,3.0,19340,Need-Based,6900,0,0,12440,Dropped Out,,2019,1,2.77
S000008,A000031,High School Counselor,C01,2018,Business,Non-STEM,$30K-$60K,1,0,3.0,19960,None,0,3453,10300,16507,Dropped Out,,2020,2,2.12
S000009,A000032,Friends / Family / Alumni,C01,2018,Nursing & Health Sciences,STEM,$30K-$60K,0,0,3.12,19000,None,0,2663,7100,16337,Dropped Out,,2020,2,3.01
S000010,A000037,Social Media,C01,2018,Arts & Humanities,Non-STEM,$60K-$100K,1,0,2.91,19130,None,0,0,0,19130,Dropped Out,,2021,3,2.16
S000011,A000038,Friends / Family / Alumni,C01,2018,Education,Non-STEM,$60K-$100K,0,1,3.58,19940,None,0,0,6300,19940,Graduated,2023,,5,3.48
S000012,A000040,College Website,C01,2018,Nursing & Health Sciences,STEM,$60K-$100K,0,1,4.0,19090,Athletic,11650,0,0,7440,Graduated,2022,,4,3.47
S000013,A000046,High School Counselor,C01,2018,Education,Non-STEM,$30K-$60K,0,0,3.08,19700,None,0,6377,0,13323,Graduated,2022,,4,3.54
S000014,A000047,College Fair,C01,2018,Computer Science,STEM,$60K-$100K,0,1,2.98,19310,None,0,0,11500,19310,Graduated,2022,,4,3.1
S000015,A000050,College Fair,C01,2018,Business,Non-STEM,$60K-$100K,0,1,3.42,19630,Merit,8800,0,6300,10830,Graduated,2022,,4,3.09
S000016,A000054,Friends / Family / Alumni,C01,2018,Arts & Humanities,Non-STEM,$150K+,0,0,3.36,19110,None,0,0,11200,19110,Graduated,2022,,4,3.21
S000017,A000056,Friends / Family / Alumni,C01,2018,Social Sciences,Non-STEM,$60K-$100K,1,1,2.43,19280,None,0,0,0,19280,Graduated,2022,,4,2.54
S000018,A000063,Campus Visit / Open House,C01,2018,Engineering,STEM,$150K+,0,0,3.41,18960,None,0,0,9900,18960,Graduated,2023,,5,3.29
S000019,A000064,Campus Visit / Open House,C01,2018,Business,Non-STEM,$30K-$60K,1,1,3.64,19330,None,0,0,0,19330,Graduated,2022,,4,2.7
S000020,A000072,Campus Visit / Open House,C01,2018,Business,Non-STEM,$60K-$100K,0,0,3.5,19270,None,0,0,7300,19270,Dropped Out,,2020,2,2.86
S000021,A000073,College Website,C01,2018,Business,Non-STEM,Under $30K,0,0,3.19,18950,None,0,3057,0,15893,Graduated,2022,,4,2.87
